edge_index,tie
942.0,-0.23973221956164384
942.0,0.20486814835977057
943.0,-0.3000293690154101
944.0,-0.2223030523878879
944.0,0.2328059030887454
945.0,-0.27986615809892784
946.0,0.3189134942486044
947.0,-0.3030789975223208
948.0,0.29449744439856673
949.0,0.2713103757280966
950.0,0.2900247784746597
951.0,0.34426165689772015
952.0,-0.19910839510827405
952.0,0.3080963128146006
953.0,-0.19240078789582823
953.0,0.3217218955987688
954.0,-0.16027850246083955
954.0,0.2818192255059976
958.0,-0.10607746638936415
961.0,-0.045622372635798415
961.0,0.3008700892236662
964.0,-0.06847234299990042
965.0,-0.11134633401845642
967.0,0.007338162549225479
967.0,0.40418341660040985
968.0,-0.020468603852497727
968.0,0.391737712488006
970.0,-0.021493614056797124
972.0,-0.028301387839632024
973.0,0.0030399655359580223
973.0,0.4339895042224539
975.0,0.05366885557858036
